Nr,Code,Municipality,Seat,County,"Population
 (30 September 2013)","Total
area (km2)","Land
area
 (km2)","Inland
water
area (km2)","Sea
water
area (km2)","Density (people
/km2)"
228,0834,Torsås Municipality,Torsås,Kalmar County,"<span data-sort-value=""7003686700000000000♠"">6,867","<span data-sort-value=""7002605230000000000♠"">605.23","<span data-sort-value=""7002468410000000000♠"">468.41","<span data-sort-value=""7000153000000000000♠"">1.53","<span data-sort-value=""7002135289999999999♠"">135.29","<span data-sort-value=""7001146600000000000♠"">14.66"
229,1452,Tranemo Municipality,Tranemo,Västra Götaland County,"<span data-sort-value=""7004115660000000000♠"">11,566","<span data-sort-value=""7002778480000000000♠"">778.48","<span data-sort-value=""7002741270000000000♠"">741.27","<span data-sort-value=""7001372100000000000♠"">37.21","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001156000000000000♠"">15.60"
230,0687,Tranås Municipality,Tranås,Jönköping County,"<span data-sort-value=""7004181850000000000♠"">18,185","<span data-sort-value=""7002437740000000000♠"">437.74","<span data-sort-value=""7002402660000000000♠"">402.66","<span data-sort-value=""7001350800000000000♠"">35.08","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001451599999999999♠"">45.16"
231,1287,Trelleborg Municipality,Trelleborg,Skåne County,"<span data-sort-value=""7004427740000000000♠"">42,774","<span data-sort-value=""7003117503000000000♠"">1,175.03","<span data-sort-value=""7002339870000000000♠"">339.87","<span data-sort-value=""7000227000000000000♠"">2.27","<span data-sort-value=""7002832890000000000♠"">832.89","<span data-sort-value=""7002125850000000000♠"">125.85"
232,1488,Trollhättan Municipality,Trollhättan,Västra Götaland County,"<span data-sort-value=""7004563930000000000♠"">56,393","<span data-sort-value=""7002427720000000000♠"">427.72","<span data-sort-value=""7002409880000000000♠"">409.88","<span data-sort-value=""7001178400000000000♠"">17.84","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002137580000000000♠"">137.58"
233,0488,Trosa Municipality,Trosa,Södermanland County,"<span data-sort-value=""7004116190000000000♠"">11,619","<span data-sort-value=""7002664760000000000♠"">664.76","<span data-sort-value=""7002209730000000000♠"">209.73","<span data-sort-value=""7000777000000000000♠"">7.77","<span data-sort-value=""7002447260000000000♠"">447.26","<span data-sort-value=""7001554000000000000♠"">55.40"
234,0138,Tyresö Municipality,Tyresö (Bollmora),Stockholm County,"<span data-sort-value=""7004440570000000000♠"">44,057","<span data-sort-value=""7002100530000000000♠"">100.53","<span data-sort-value=""7001692500000000000♠"">69.25","<span data-sort-value=""7000338000000000000♠"">3.38","<span data-sort-value=""7001279000000000000♠"">27.90","<span data-sort-value=""7002636200000000000♠"">636.20"
235,0160,Täby Municipality,Täby,Stockholm County,"<span data-sort-value=""7004661610000000000♠"">66,161","<span data-sort-value=""7001712200000000000♠"">71.22","<span data-sort-value=""7001607200000000000♠"">60.72","<span data-sort-value=""7000530999999999999♠"">5.31","<span data-sort-value=""7000519000000000000♠"">5.19","<span data-sort-value=""7003108960999999999♠"">1,089.61"
236,1473,Töreboda Municipality,Töreboda,Västra Götaland County,"<span data-sort-value=""7003897200000000000♠"">8,972","<span data-sort-value=""7002590320000000000♠"">590.32","<span data-sort-value=""7002539850000000000♠"">539.85","<span data-sort-value=""7001504700000000000♠"">50.47","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001166200000000000♠"">16.62"
237,1485,Uddevalla Municipality,Uddevalla,Västra Götaland County,"<span data-sort-value=""7004528860000000000♠"">52,886","<span data-sort-value=""7002733030000000000♠"">733.03","<span data-sort-value=""7002637690000000000♠"">637.69","<span data-sort-value=""7001126000000000000♠"">12.60","<span data-sort-value=""7001827400000000000♠"">82.74","<span data-sort-value=""7001829300000000000♠"">82.93"
238,1491,Ulricehamn Municipality,Ulricehamn,Västra Götaland County,"<span data-sort-value=""7004231270000000000♠"">23,127","<span data-sort-value=""7003111671000000000♠"">1,116.71","<span data-sort-value=""7003104602000000000♠"">1,046.02","<span data-sort-value=""7001706900000000000♠"">70.69","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001221100000000000♠"">22.11"
239,2480,Umeå Municipality,Umeå,Västerbotten County,"<span data-sort-value=""7005118034000000000♠"">118,034","<span data-sort-value=""7003521416000000000♠"">5,214.16","<span data-sort-value=""7003231661000000000♠"">2,316.61","<span data-sort-value=""7001801300000000000♠"">80.13","<span data-sort-value=""7003281742000000000♠"">2,817.42","<span data-sort-value=""7001509500000000000♠"">50.95"
240,0114,Upplands Väsby Municipality,Upplands Väsby,Stockholm County,"<span data-sort-value=""7004413800000000000♠"">41,380","<span data-sort-value=""7001838100000000000♠"">83.81","<span data-sort-value=""7001750900000000000♠"">75.09","<span data-sort-value=""7000476999999999999♠"">4.77","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002551070000000000♠"">551.07"
241,0139,Upplands-Bro Municipality,Kungsängen,Stockholm County,"<span data-sort-value=""7004245690000000000♠"">24,569","<span data-sort-value=""7002325230000000000♠"">325.23","<span data-sort-value=""7002235470000000000♠"">235.47","<span data-sort-value=""7000480999999999999♠"">4.81","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002104340000000000♠"">104.34"
242,0380,Uppsala Municipality,Uppsala,Uppsala County,"<span data-sort-value=""7005204639000000000♠"">204,639","<span data-sort-value=""7003223446999999999♠"">2,234.47","<span data-sort-value=""7003218280000000000♠"">2,182.80","<span data-sort-value=""7001406300000000000♠"">40.63","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001937500000000000♠"">93.75"
243,0760,Uppvidinge Municipality,Åseda,Kronoberg County,"<span data-sort-value=""7003922600000000000♠"">9,226","<span data-sort-value=""7003122666000000000♠"">1,226.66","<span data-sort-value=""7003117188000000000♠"">1,171.88","<span data-sort-value=""7001547800000000000♠"">54.78","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000787000000000000♠"">7.87"
244,0584,Vadstena Municipality,Vadstena,Östergötland County,"<span data-sort-value=""7003736700000000000♠"">7,367","<span data-sort-value=""7002413330000000000♠"">413.33","<span data-sort-value=""7002181910000000000♠"">181.91","<span data-sort-value=""7001262399999999999♠"">26.24","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001405000000000000♠"">40.50"
245,0665,Vaggeryd Municipality,Vaggeryd and Skillingaryd,Jönköping County,"<span data-sort-value=""7004131930000000000♠"">13,193","<span data-sort-value=""7002858150000000000♠"">858.15","<span data-sort-value=""7002824940000000000♠"">824.94","<span data-sort-value=""7001332100000000000♠"">33.21","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001159900000000000♠"">15.99"
246,0563,Valdemarsvik Municipality,Valdemarsvik,Östergötland County,"<span data-sort-value=""7003760400000000000♠"">7,604","<span data-sort-value=""7003204956000000000♠"">2,049.56","<span data-sort-value=""7002733820000000000♠"">733.82","<span data-sort-value=""7001432600000000000♠"">43.26","<span data-sort-value=""7003127248000000000♠"">1,272.48","<span data-sort-value=""7001103600000000000♠"">10.36"
247,0115,Vallentuna Municipality,Vallentuna,Stockholm County,"<span data-sort-value=""7004315230000000000♠"">31,523","<span data-sort-value=""7002368970000000000♠"">368.97","<span data-sort-value=""7002358360000000000♠"">358.36","<span data-sort-value=""7001106100000000000♠"">10.61","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001879599999999999♠"">87.96"
248,2021,Vansbro Municipality,Vansbro,Dalarna County,"<span data-sort-value=""7003673500000000000♠"">6,735","<span data-sort-value=""7003165735000000000♠"">1,657.35","<span data-sort-value=""7003153957000000000♠"">1,539.57","<span data-sort-value=""7002117780000000000♠"">117.78","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000437000000000000♠"">4.37"
249,1470,Vara Municipality,Vara,Västra Götaland County,"<span data-sort-value=""7004156370000000000♠"">15,637","<span data-sort-value=""7002700440000000000♠"">700.44","<span data-sort-value=""7002696930000000000♠"">696.93","<span data-sort-value=""7000369000000000000♠"">3.69","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001224400000000000♠"">22.44"
250,1383,Varberg Municipality,Varberg,Halland County,"<span data-sort-value=""7004597790000000000♠"">59,779","<span data-sort-value=""7003170335000000000♠"">1,703.35","<span data-sort-value=""7002868710000000000♠"">868.71","<span data-sort-value=""7001408300000000000♠"">40.83","<span data-sort-value=""7002793810000000000♠"">793.81","<span data-sort-value=""7001688100000000000♠"">68.81"
251,0187,Vaxholm Municipality,Vaxholm,Stockholm County,"<span data-sort-value=""7004111960000000000♠"">11,196","<span data-sort-value=""7002107070000000000♠"">107.07","<span data-sort-value=""7001578800000000000♠"">57.88","<span data-sort-value=""6999690000000000000♠"">0.69","<span data-sort-value=""7001485000000000000♠"">48.50","<span data-sort-value=""7002193430000000000♠"">193.43"
252,1233,Vellinge Municipality,Vellinge,Skåne County,"<span data-sort-value=""7004338060000000000♠"">33,806","<span data-sort-value=""7002705460000000000♠"">705.46","<span data-sort-value=""7002142610000000000♠"">142.61","<span data-sort-value=""7000108000000000000♠"">1.08","<span data-sort-value=""7002561770000000000♠"">561.77","<span data-sort-value=""7002237050000000000♠"">237.05"
253,0685,Vetlanda Municipality,Vetlanda,Jönköping County,"<span data-sort-value=""7004263620000000000♠"">26,362","<span data-sort-value=""7003160043000000000♠"">1,600.43","<span data-sort-value=""7003150051000000000♠"">1,500.51","<span data-sort-value=""7001999200000000000♠"">99.92","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001175700000000000♠"">17.57"
254,2462,Vilhelmina Municipality,Vilhelmina,Västerbotten County,"<span data-sort-value=""7003692400000000000♠"">6,924","<span data-sort-value=""7003874050000000000♠"">8,740.50","<span data-sort-value=""7003804787000000000♠"">8,047.87","<span data-sort-value=""7002692630000000000♠"">692.63","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""6999860000000000000♠"">0.86"
255,0884,Vimmerby Municipality,Vimmerby,Kalmar County,"<span data-sort-value=""7004153150000000000♠"">15,315","<span data-sort-value=""7003121980000000000♠"">1,219.80","<span data-sort-value=""7003114023000000000♠"">1,140.23","<span data-sort-value=""7001795699999999999♠"">79.57","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001134300000000000♠"">13.43"
256,2404,Vindeln Municipality,Vindeln,Västerbotten County,"<span data-sort-value=""7003533000000000000♠"">5,330","<span data-sort-value=""7003284611000000000♠"">2,846.11","<span data-sort-value=""7003262937000000000♠"">2,629.37","<span data-sort-value=""7002216740000000000♠"">216.74","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000202999999999999♠"">2.03"
257,0428,Vingåker Municipality,Vingåker,Södermanland County,"<span data-sort-value=""7003881800000000000♠"">8,818","<span data-sort-value=""7002439440000000000♠"">439.44","<span data-sort-value=""7002370270000000000♠"">370.27","<span data-sort-value=""7001415500000000000♠"">41.55","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001238200000000000♠"">23.82"
258,1442,Vårgårda Municipality,Vårgårda,Västra Götaland County,"<span data-sort-value=""7004110660000000000♠"">11,066","<span data-sort-value=""7002441220000000000♠"">441.22","<span data-sort-value=""7002426600000000000♠"">426.60","<span data-sort-value=""7001146200000000000♠"">14.62","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001259400000000000♠"">25.94"
259,1487,Vänersborg Municipality,Vänersborg,Västra Götaland County,"<span data-sort-value=""7004372400000000000♠"">37,240","<span data-sort-value=""7002898830000000000♠"">898.83","<span data-sort-value=""7002642700000000000♠"">642.70","<span data-sort-value=""7001230000000000000♠"">23.00","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001579400000000000♠"">57.94"
260,2460,Vännäs Municipality,Vännäs,Västerbotten County,"<span data-sort-value=""7003857800000000000♠"">8,578","<span data-sort-value=""7002553700000000000♠"">553.70","<span data-sort-value=""7002529490000000000♠"">529.49","<span data-sort-value=""7001242100000000000♠"">24.21","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001162000000000000♠"">16.20"
261,0120,Värmdö Municipality,Gustavsberg,Stockholm County,"<span data-sort-value=""7004397570000000000♠"">39,757","<span data-sort-value=""7003298011000000000♠"">2,980.11","<span data-sort-value=""7002448030000000000♠"">448.03","<span data-sort-value=""7000767000000000000♠"">7.67","<span data-sort-value=""7003252441000000000♠"">2,524.41","<span data-sort-value=""7001887400000000000♠"">88.74"
262,0683,Värnamo Municipality,Värnamo,Jönköping County,"<span data-sort-value=""7004330570000000000♠"">33,057","<span data-sort-value=""7003138244000000000♠"">1,382.44","<span data-sort-value=""7003121600000000000♠"">1,216.00","<span data-sort-value=""7002166440000000000♠"">166.44","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001271900000000000♠"">27.19"
263,0883,Västervik Municipality,Västervik,Kalmar County,"<span data-sort-value=""7004358140000000000♠"">35,814","<span data-sort-value=""7003359148000000000♠"">3,591.48","<span data-sort-value=""7003187156000000000♠"">1,871.56","<span data-sort-value=""7002152230000000000♠"">152.23","<span data-sort-value=""7003156769000000000♠"">1,567.69","<span data-sort-value=""7001191400000000000♠"">19.14"
264,1980,Västerås Municipality,Västerås,Västmanland County,"<span data-sort-value=""7005141845000000000♠"">141,845","<span data-sort-value=""7003113671000000000♠"">1,136.71","<span data-sort-value=""7002957890000000000♠"">957.89","<span data-sort-value=""7000409000000000000♠"">4.09","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002148080000000000♠"">148.08"
265,0780,Växjö Municipality,Växjö,Kronoberg County,"<span data-sort-value=""7004856350000000000♠"">85,635","<span data-sort-value=""7003191425000000000♠"">1,914.25","<span data-sort-value=""7003166551000000000♠"">1,665.51","<span data-sort-value=""7002248740000000000♠"">248.74","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001514200000000000♠"">51.42"
266,0512,Ydre Municipality,Österbymo,Östergötland County,"<span data-sort-value=""7003359000000000000♠"">3,590","<span data-sort-value=""7002778620000000000♠"">778.62","<span data-sort-value=""7002675420000000000♠"">675.42","<span data-sort-value=""7002103200000000000♠"">103.20","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000532000000000000♠"">5.32"
267,1286,Ystad Municipality,Ystad,Skåne County,"<span data-sort-value=""7004285930000000000♠"">28,593","<span data-sort-value=""7003118932000000000♠"">1,189.32","<span data-sort-value=""7002350080000000000♠"">350.08","<span data-sort-value=""7000501999999999999♠"">5.02","<span data-sort-value=""7002834220000000000♠"">834.22","<span data-sort-value=""7001816800000000000♠"">81.68"
268,1492,Åmål Municipality,Åmål,Västra Götaland County,"<span data-sort-value=""7004122030000000000♠"">12,203","<span data-sort-value=""7002889710000000000♠"">889.71","<span data-sort-value=""7002481120000000000♠"">481.12","<span data-sort-value=""7001523800000000000♠"">52.38","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001253600000000000♠"">25.36"
269,2260,Ånge Municipality,Ånge,Västernorrland County,"<span data-sort-value=""7003958200000000000♠"">9,582","<span data-sort-value=""7003329556000000000♠"">3,295.56","<span data-sort-value=""7003305136000000000♠"">3,051.36","<span data-sort-value=""7002244200000000000♠"">244.20","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000314000000000000♠"">3.14"
270,2321,Åre Municipality,Järpen,Jämtland County,"<span data-sort-value=""7004103780000000000♠"">10,378","<span data-sort-value=""7003823654000000000♠"">8,236.54","<span data-sort-value=""7003719945000000000♠"">7,199.45","<span data-sort-value=""7003103708999999999♠"">1,037.09","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000144000000000000♠"">1.44"
271,1765,Årjäng Municipality,Årjäng,Värmland County,"<span data-sort-value=""7003987000000000000♠"">9,870","<span data-sort-value=""7003165304000000000♠"">1,653.04","<span data-sort-value=""7003140947000000000♠"">1,409.47","<span data-sort-value=""7002243570000000000♠"">243.57","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000700000000000000♠"">7.00"
272,2463,Åsele Municipality,Åsele,Västerbotten County,"<span data-sort-value=""7003288700000000000♠"">2,887","<span data-sort-value=""7003454395000000000♠"">4,543.95","<span data-sort-value=""7003422379000000000♠"">4,223.79","<span data-sort-value=""7002320160000000000♠"">320.16","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""6999680000000000000♠"">0.68"
273,1277,Åstorp Municipality,Åstorp,Skåne County,"<span data-sort-value=""7004148960000000000♠"">14,896","<span data-sort-value=""7001924700000000000♠"">92.47","<span data-sort-value=""7001922200000000000♠"">92.22","<span data-sort-value=""6999250000000000000♠"">0.25","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002161530000000000♠"">161.53"
274,0561,Åtvidaberg Municipality,Åtvidaberg,Östergötland County,"<span data-sort-value=""7004114560000000000♠"">11,456","<span data-sort-value=""7002780270000000000♠"">780.27","<span data-sort-value=""7002686620000000000♠"">686.62","<span data-sort-value=""7001936500000000000♠"">93.65","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001166800000000000♠"">16.68"
275,0765,Älmhult Municipality,Älmhult,Kronoberg County,"<span data-sort-value=""7004157590000000000♠"">15,759","<span data-sort-value=""7002978220000000000♠"">978.22","<span data-sort-value=""7002890780000000000♠"">890.78","<span data-sort-value=""7001874400000000000♠"">87.44","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001176900000000000♠"">17.69"
276,2039,Älvdalen Municipality,Älvdalen,Dalarna County,"<span data-sort-value=""7003708600000000000♠"">7,086","<span data-sort-value=""7003714283000000000♠"">7,142.83","<span data-sort-value=""7003687151000000000♠"">6,871.51","<span data-sort-value=""7002271320000000000♠"">271.32","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000103000000000000♠"">1.03"
277,0319,Älvkarleby Municipality,Skutskär,Uppsala County,"<span data-sort-value=""7003916100000000000♠"">9,161","<span data-sort-value=""7002614130000000000♠"">614.13","<span data-sort-value=""7002214980000000000♠"">214.98","<span data-sort-value=""7001198299999999999♠"">19.83","<span data-sort-value=""7002379320000000000♠"">379.32","<span data-sort-value=""7001426100000000000♠"">42.61"
278,2560,Älvsbyn Municipality,Älvsbyn,Norrbotten County,"<span data-sort-value=""7003818200000000000♠"">8,182","<span data-sort-value=""7003179524000000000♠"">1,795.24","<span data-sort-value=""7003169804000000000♠"">1,698.04","<span data-sort-value=""7001972000000000000♠"">97.20","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000482000000000000♠"">4.82"
279,1292,Ängelholm Municipality,Ängelholm,Skåne County,"<span data-sort-value=""7004398210000000000♠"">39,821","<span data-sort-value=""7002478060000000000♠"">478.06","<span data-sort-value=""7002420060000000000♠"">420.06","<span data-sort-value=""7001112300000000000♠"">11.23","<span data-sort-value=""7001467700000000000♠"">46.77","<span data-sort-value=""7001948000000000000♠"">94.80"
280,1407,Öckerö Municipality,Öckerö,Västra Götaland County,"<span data-sort-value=""7004125590000000000♠"">12,559","<span data-sort-value=""7002511400000000000♠"">511.40","<span data-sort-value=""7001257399999999999♠"">25.74","<span data-sort-value=""6999120000000000000♠"">0.12","<span data-sort-value=""7002485540000000000♠"">485.54","<span data-sort-value=""7002487920000000000♠"">487.92"
281,0509,Ödeshög Municipality,Ödeshög,Östergötland County,"<span data-sort-value=""7003519200000000000♠"">5,192","<span data-sort-value=""7002668990000000000♠"">668.99","<span data-sort-value=""7002430420000000000♠"">430.42","<span data-sort-value=""7001198400000000000♠"">19.84","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001120600000000000♠"">12.06"
282,1880,Örebro Municipality,Örebro,Örebro County,"<span data-sort-value=""7005140295000000000♠"">140,295","<span data-sort-value=""7003162060000000000♠"">1,620.60","<span data-sort-value=""7003137315000000000♠"">1,373.15","<span data-sort-value=""7001505900000000000♠"">50.59","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002102170000000000♠"">102.17"
283,1257,Örkelljunga Municipality,Örkelljunga,Skåne County,"<span data-sort-value=""7003965800000000000♠"">9,658","<span data-sort-value=""7002329700000000000♠"">329.70","<span data-sort-value=""7002319550000000000♠"">319.55","<span data-sort-value=""7001101500000000000♠"">10.15","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001302200000000000♠"">30.22"
284,2284,Örnsköldsvik Municipality,Örnsköldsvik,Västernorrland County,"<span data-sort-value=""7004549930000000000♠"">54,993","<span data-sort-value=""7003842878000000000♠"">8,428.78","<span data-sort-value=""7003637646000000000♠"">6,376.46","<span data-sort-value=""7002362420000000000♠"">362.42","<span data-sort-value=""7003168990000000000♠"">1,689.90","<span data-sort-value=""7000861999999999999♠"">8.62"
285,2380,Östersund Municipality,Östersund,Jämtland County,"<span data-sort-value=""7004597270000000000♠"">59,727","<span data-sort-value=""7003250108000000000♠"">2,501.08","<span data-sort-value=""7003220831000000000♠"">2,208.31","<span data-sort-value=""7002292770000000000♠"">292.77","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001270500000000000♠"">27.05"
286,0117,Österåker Municipality,Åkersberga,Stockholm County,"<span data-sort-value=""7004404140000000000♠"">40,414","<span data-sort-value=""7002554460000000000♠"">554.46","<span data-sort-value=""7002312400000000000♠"">312.40","<span data-sort-value=""7001106800000000000♠"">10.68","<span data-sort-value=""7002231380000000000♠"">231.38","<span data-sort-value=""7002129370000000000♠"">129.37"
287,0382,Östhammar Municipality,Östhammar,Uppsala County,"<span data-sort-value=""7004213460000000000♠"">21,346","<span data-sort-value=""7003348640000000000♠"">3,486.40","<span data-sort-value=""7003147528000000000♠"">1,475.28","<span data-sort-value=""7001275400000000000♠"">27.54","<span data-sort-value=""7003198358000000000♠"">1,983.58","<span data-sort-value=""7001144700000000000♠"">14.47"
288,1256,Östra Göinge Municipality,Broby,Skåne County,"<span data-sort-value=""7004136320000000000♠"">13,632","<span data-sort-value=""7002451150000000000♠"">451.15","<span data-sort-value=""7002431960000000000♠"">431.96","<span data-sort-value=""7001191900000000000♠"">19.19","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001315600000000000♠"">31.56"
289,2513,Överkalix Municipality,Överkalix,Norrbotten County,"<span data-sort-value=""7003345000000000000♠"">3,450","<span data-sort-value=""7003291947000000000♠"">2,919.47","<span data-sort-value=""7003276453000000000♠"">2,764.53","<span data-sort-value=""7002154940000000000♠"">154.94","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000125000000000000♠"">1.25"
290,2518,Övertorneå Municipality,Övertorneå,Norrbotten County,"<span data-sort-value=""7003472600000000000♠"">4,726","<span data-sort-value=""7003249229000000000♠"">2,492.29","<span data-sort-value=""7003236207000000000♠"">2,362.07","<span data-sort-value=""7002130220000000000♠"">130.22","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000200000000000000♠"">2.00"
