Nr,Code,Municipality,Seat,County,"Population
 (30 September 2013)","Total
area (km2)","Land
area
 (km2)","Inland
water
area (km2)","Sea
water
area (km2)","Density (people
/km2)"
48,2026,Gagnef Municipality,Djurås,Dalarna County,"<span data-sort-value=""7004100520000000000♠"">10,052","<span data-sort-value=""7002812320000000000♠"">812.32","<span data-sort-value=""7002767150000000000♠"">767.15","<span data-sort-value=""7001451700000000000♠"">45.17","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001131000000000000♠"">13.10"
49,0662,Gislaved Municipality,Gislaved,Jönköping County,"<span data-sort-value=""7004287500000000000♠"">28,750","<span data-sort-value=""7003122072000000000♠"">1,220.72","<span data-sort-value=""7003113708000000000♠"">1,137.08","<span data-sort-value=""7001836400000000000♠"">83.64","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001252800000000000♠"">25.28"
50,0461,Gnesta Municipality,Gnesta,Södermanland County,"<span data-sort-value=""7004104500000000000♠"">10,450","<span data-sort-value=""7002538140000000000♠"">538.14","<span data-sort-value=""7002461240000000000♠"">461.24","<span data-sort-value=""7001769000000000000♠"">76.90","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001226600000000000♠"">22.66"
51,0617,Gnosjö Municipality,Gnosjö,Jönköping County,"<span data-sort-value=""7003939000000000000♠"">9,390","<span data-sort-value=""7002450050000000000♠"">450.05","<span data-sort-value=""7002420580000000000♠"">420.58","<span data-sort-value=""7001294700000000000♠"">29.47","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001223299999999999♠"">22.33"
52,0980,Gotland Municipality,Visby,Gotland County,"<span data-sort-value=""7004572350000000000♠"">57,235","<span data-sort-value=""7004152410700000000♠"">15,241.07","<span data-sort-value=""7003313405000000000♠"">3,134.05","<span data-sort-value=""7001314900000000000♠"">31.49","<span data-sort-value=""7004120755300000000♠"">12,075.53","<span data-sort-value=""7001182600000000000♠"">18.26"
53,1764,Grums Municipality,Grums,Värmland County,"<span data-sort-value=""7003891800000000000♠"">8,918","<span data-sort-value=""7002478820000000000♠"">478.82","<span data-sort-value=""7002386380000000000♠"">386.38","<span data-sort-value=""7001478700000000000♠"">47.87","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001230799999999999♠"">23.08"
54,1444,Grästorp Municipality,Grästorp,Västra Götaland County,"<span data-sort-value=""7003561300000000000♠"">5,613","<span data-sort-value=""7002280660000000000♠"">280.66","<span data-sort-value=""7002264680000000000♠"">264.68","<span data-sort-value=""7000115999999999999♠"">1.16","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001212100000000000♠"">21.21"
55,1447,Gullspång Municipality,Gullspång and Hova,Västra Götaland County,"<span data-sort-value=""7003519400000000000♠"">5,194","<span data-sort-value=""7002554950000000000♠"">554.95","<span data-sort-value=""7002312890000000000♠"">312.89","<span data-sort-value=""7001694200000000000♠"">69.42","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001166000000000000♠"">16.60"
56,2523,Gällivare Municipality,Gällivare,Norrbotten County,"<span data-sort-value=""7004183800000000000♠"">18,380","<span data-sort-value=""7004168182200000000♠"">16,818.22","<span data-sort-value=""7004157051500000000♠"">15,705.15","<span data-sort-value=""7003111307000000000♠"">1,113.07","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000117000000000000♠"">1.17"
57,2180,Gävle Municipality,Gävle,Gävleborg County,"<span data-sort-value=""7004969690000000000♠"">96,969","<span data-sort-value=""7003319984000000000♠"">3,199.84","<span data-sort-value=""7003161337000000000♠"">1,613.37","<span data-sort-value=""7002169040000000000♠"">169.04","<span data-sort-value=""7003141743000000000♠"">1,417.43","<span data-sort-value=""7001601000000000000♠"">60.10"
58,1480,Gothenburg Municipality,Gothenburg,Västra Götaland County,"<span data-sort-value=""7005567337000000000♠"">567,337","<span data-sort-value=""7003102536999999999♠"">1,025.37","<span data-sort-value=""7002447760000000000♠"">447.76","<span data-sort-value=""7001156600000000000♠"">15.66","<span data-sort-value=""7002561950000000000♠"">561.95","<span data-sort-value=""7003118869000000000♠"">1,188.69"
59,1471,Götene Municipality,Götene,Västra Götaland County,"<span data-sort-value=""7004130540000000000♠"">13,054","<span data-sort-value=""7002620740000000000♠"">620.74","<span data-sort-value=""7002404540000000000♠"">404.54","<span data-sort-value=""6999940000000000000♠"">0.94","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001322700000000000♠"">32.27"
60,0643,Habo Municipality,Habo,Jönköping County,"<span data-sort-value=""7004109690000000000♠"">10,969","<span data-sort-value=""7002462240000000000♠"">462.24","<span data-sort-value=""7002328520000000000♠"">328.52","<span data-sort-value=""7000623000000000000♠"">6.23","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001333900000000000♠"">33.39"
61,1783,Hagfors Municipality,Hagfors,Värmland County,"<span data-sort-value=""7004121170000000000♠"">12,117","<span data-sort-value=""7003200015000000000♠"">2,000.15","<span data-sort-value=""7003182417000000000♠"">1,824.17","<span data-sort-value=""7002175980000000000♠"">175.98","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000664000000000000♠"">6.64"
62,1861,Hallsberg Municipality,Hallsberg,Örebro County,"<span data-sort-value=""7004152650000000000♠"">15,265","<span data-sort-value=""7002670220000000000♠"">670.22","<span data-sort-value=""7002636710000000000♠"">636.71","<span data-sort-value=""7001335100000000000♠"">33.51","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001239700000000000♠"">23.97"
63,1961,Hallstahammar Municipality,Hallstahammar,Västmanland County,"<span data-sort-value=""7004154730000000000♠"">15,473","<span data-sort-value=""7002181260000000000♠"">181.26","<span data-sort-value=""7002170700000000000♠"">170.70","<span data-sort-value=""7000161000000000000♠"">1.61","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001906400000000000♠"">90.64"
64,1380,Halmstad Municipality,Halmstad,Halland County,"<span data-sort-value=""7004938860000000000♠"">93,886","<span data-sort-value=""7003169989000000000♠"">1,699.89","<span data-sort-value=""7003101413000000000♠"">1,014.13","<span data-sort-value=""7001167300000000000♠"">16.73","<span data-sort-value=""7002669030000000000♠"">669.03","<span data-sort-value=""7001925800000000000♠"">92.58"
65,1761,Hammarö Municipality,Skoghall,Värmland County,"<span data-sort-value=""7004151390000000000♠"">15,139","<span data-sort-value=""7002464160000000000♠"">464.16","<span data-sort-value=""7001391500000000000♠"">39.15","<span data-sort-value=""7000155000000000000♠"">1.55","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002386690000000000♠"">386.69"
66,0136,Haninge Municipality,Handen,Stockholm County,"<span data-sort-value=""7004806150000000000♠"">80,615","<span data-sort-value=""7003216087000000000♠"">2,160.87","<span data-sort-value=""7002458070000000000♠"">458.07","<span data-sort-value=""7000599000000000000♠"">5.99","<span data-sort-value=""7003169681000000000♠"">1,696.81","<span data-sort-value=""7002175990000000000♠"">175.99"
67,2583,Haparanda Municipality,Haparanda,Norrbotten County,"<span data-sort-value=""7003989000000000000♠"">9,890","<span data-sort-value=""7003186827000000000♠"">1,868.27","<span data-sort-value=""7002922760000000000♠"">922.76","<span data-sort-value=""7001387400000000000♠"">38.74","<span data-sort-value=""7002906770000000000♠"">906.77","<span data-sort-value=""7001107200000000000♠"">10.72"
68,0331,Heby Municipality,Heby,Uppsala County,"<span data-sort-value=""7004134510000000000♠"">13,451","<span data-sort-value=""7003122559999999999♠"">1,225.60","<span data-sort-value=""7003116681000000000♠"">1,166.81","<span data-sort-value=""7001587900000000000♠"">58.79","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001115300000000000♠"">11.53"
69,2083,Hedemora Municipality,Hedemora,Dalarna County,"<span data-sort-value=""7004150040000000000♠"">15,004","<span data-sort-value=""7002928770000000000♠"">928.77","<span data-sort-value=""7002835100000000000♠"">835.10","<span data-sort-value=""7001936700000000000♠"">93.67","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001179700000000000♠"">17.97"
70,1283,Helsingborg Municipality,Helsingborg,Skåne County,"<span data-sort-value=""7005132706000000000♠"">132,706","<span data-sort-value=""7002423970000000000♠"">423.97","<span data-sort-value=""7002344010000000000♠"">344.01","<span data-sort-value=""7000135000000000000♠"">1.35","<span data-sort-value=""7001786100000000000♠"">78.61","<span data-sort-value=""7002385760000000000♠"">385.76"
71,1466,Herrljunga Municipality,Herrljunga,Västra Götaland County,"<span data-sort-value=""7003923900000000000♠"">9,239","<span data-sort-value=""7002509540000000000♠"">509.54","<span data-sort-value=""7002497550000000000♠"">497.55","<span data-sort-value=""7001119900000000000♠"">11.99","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001185700000000000♠"">18.57"
72,1497,Hjo Municipality,Hjo,Västra Götaland County,"<span data-sort-value=""7003883300000000000♠"">8,833","<span data-sort-value=""7002584470000000000♠"">584.47","<span data-sort-value=""7002297040000000000♠"">297.04","<span data-sort-value=""7000509000000000000♠"">5.09","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001297400000000000♠"">29.74"
73,2104,Hofors Municipality,Hofors,Gävleborg County,"<span data-sort-value=""7003952700000000000♠"">9,527","<span data-sort-value=""7002445710000000000♠"">445.71","<span data-sort-value=""7002409940000000000♠"">409.94","<span data-sort-value=""7001357700000000000♠"">35.77","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001232399999999999♠"">23.24"
74,0126,Huddinge Municipality,Huddinge,Stockholm County,"<span data-sort-value=""7005102256000000000♠"">102,256","<span data-sort-value=""7002140630000000000♠"">140.63","<span data-sort-value=""7002131009999999999♠"">131.01","<span data-sort-value=""7000813000000000000♠"">8.13","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002780520000000000♠"">780.52"
75,2184,Hudiksvall Municipality,Hudiksvall,Gävleborg County,"<span data-sort-value=""7004368570000000000♠"">36,857","<span data-sort-value=""7003451662000000000♠"">4,516.62","<span data-sort-value=""7003248889000000000♠"">2,488.89","<span data-sort-value=""7002255690000000000♠"">255.69","<span data-sort-value=""7003177204000000000♠"">1,772.04","<span data-sort-value=""7001148100000000000♠"">14.81"
